ANO;ESTADO;CODIGO IBGE;Municipio;Vendas
2019;Rondonia;1100023;ARIQUEMES;50.165 
2019;Rondonia;1100049;CACOAL;175.000 
2019;Rondonia;1100122;JI-PARANA;459 
2019;Rondonia;1100189;PIMENTA BUENO;10.000 
2019;Rondonia;1100205;PORTO VELHO;53.119 
2019;Rondonia;1100304;VILHENA;131.743 
2019;Acre;1200203;CRUZEIRO DO SUL;235.000 
2019;Acre;1200302;FEIJO;105.171 
2019;Acre;1200401;RIO BRANCO;369.435 
2019;Amazonas;1302603;MANAUS 674.314 
2019;Roraima;1400100;BOA VISTA;797.000 
2019;Roraima;1400175;CANTA;300.898 
2019;Para;1501402;BELEM;544.168 
2019;Para;1502707;CONCEICAO DO ARAGUAIA;435 
2019;Para;1503606;ITAITUBA;1.305.781 
2019;Para;1504208;MARABA;30.000 
2019;Para;1505031;NOVO PROGRESSO;499.905 
2019;Para;1505106;OBIDOS;5.000 
2019;Para;1505437;OURILANDIA DO NORTE;34.878 
2019;Para;1505502;PARAGOMINAS;615 
2019;Para;1505536;PARAUAPEBAS;103.921 
2019;Para;1506138;REDENCAO;292.916 
2019;Para;1506807;SANTAREM;376.784 
2019;Para;1507300;SAO FELIX DO XINGU;35.050 
2019;Para;1508084;TUCUMA;5.000 
2019;Para;1508407;XINGUARA;40.353 
2019;Amapa;1600303;MACAPA;377.400 
2019;Tocantins;1700707;ALVORADA;358 
2019;Tocantins;1702109;ARAGUAINA;552.664 
2019;Tocantins;1709500;GURUPI;326.000 
2019;Tocantins;1716109;PARAISO DO TOCANTINS;102.261 
2019;Tocantins;1716505;PEDRO AFONSO;977 
2019;Tocantins;1718204;PORTO NACIONAL;72.000 
2019;Tocantins;1721000;PALMAS;242.526 
2019;Maranhao;2101400;BALSAS;102.689 
2019;Maranhao;2102804;CAROLINA;22.980 
2019;Maranhao;2103752;DAVINOPOLIS;149 
2019;Maranhao;2105302;IMPERATRIZ;50.950 
2019;Maranhao;2107506;PACO DO LUMIAR;53.000 
2019;Maranhao;2110005;SANTA LUZIA;169 
2019;Maranhao;2111300;SAO LUIS;147.285 
2019;Maranhao;2112209;TIMON;26.931 
2019;Piaui;2201150;BAIXA GRANDE DO RIBEIRO;22.915 
2019;Piaui;2204303;FRONTEIRAS;55 
2019;Piaui;2206605;MONTE ALEGRE DO PIAUI;10.238 
2019;Piaui;2207702;PARNAIBA;57.500 
2019;Piaui;2208908;RIBEIRO GONCALVES;4.879 
2019;Piaui;2209203;SANTA FILOMENA;9.880 
2019;Piaui;2210631;SEBASTIAO LEAL;569 
2019;Piaui;2211001;TERESINA;180.729 
2019;Ceara;2301000;AQUIRAZ;71.289 
2019;Ceara;2303501;CASCAVEL;279 
2019;Ceara;2304400;FORTALEZA;232.900 
2019;Ceara;2307304;JUAZEIRO DO NORTE;51.418 
2019;Ceara;2312403;SAO GONCALO DO AMARANTE;194 
2019;Rio Grande do Norte;2401305;CAMPO GRANDE;2.129 
2019;Rio Grande do Norte;2403251;PARNAMIRIM;96.000 
2019;Rio Grande do Norte;2404309;GOVERNADOR DIX-SEPT ROSADO;162 
2019;Rio Grande do Norte;2408102;NATAL;850 
2019;Rio Grande do Norte;2412203;SAO JOSE DE MIPIBU;5.000 
2019;Paraiba;2501807;BAYEUX;110.000 
2019;Paraiba;2503209;CABEDELO;89 
2019;Paraiba;2504009;CAMPINA GRANDE;41.466 
2019;Paraiba;2506301;GUARABIRA;150 
2019;Paraiba;2507507;JOAO PESSOA;6.000 
2019;Paraiba;2509206;MASSARANDUBA;30.000 
2019;Paraiba;2513703;SANTA RITA;12.000 
2019;Paraiba;2516201;SOUSA;226 
2019;Pernambuco;2602902;CABO DE SANTO AGOSTINHO;234 
2019;Pernambuco;2604106;CARUARU;15.078 
2019;Pernambuco;2606002;GARANHUNS;281 
2019;Pernambuco;2606804;IGARASSU;135 
2019;Pernambuco;2611101;PETROLINA;36.105 
2019;Pernambuco;2611606;RECIFE;271.205 
2019;Alagoas;2701506;CAMPO GRANDE;20.000 
2019;Alagoas;2704302;MACEIO;18.000 
2019;Alagoas;2704708;MARECHAL DEODORO;150 
2019;Alagoas;2707701;RIO LARGO;142.061 
2019;Sergipe;2800308;ARACAJU;49.124 
2019;Bahia;2900702;ALAGOINHAS;50 
2019;Bahia;2900801;ALCOBACA;758 
2019;Bahia;2901304;ANDARAI;1.182 
2019;Bahia;2903201;BARREIRAS;122.069 
2019;Bahia;2903409;BELMONTE;193 
2019;Bahia;2903904;BOM JESUS DA LAPA;15.344 
2019;Bahia;2904605;BRUMADO;17.925 
2019;Bahia;2905008;CACULE;164 
2019;Bahia;2907509;CATU;100 
2019;Bahia;2908101;COCOS;388 
2019;Bahia;2909307;CORRENTINA;192 
2019;Bahia;2910727;EUNAPOLIS;120 
2019;Bahia;2910800;FEIRA DE SANTANA;7.324 
2019;Bahia;2911105;FORMOSA DO RIO PRETO;9.800 
2019;Bahia;2911709;GUANAMBI;83.196 
2019;Bahia;2913606;ILHEUS;44.859 
2019;Bahia;2914604;IRECE;826 
2019;Bahia;2914703;ITABERABA;120 
2019;Bahia;2919207;LAURO DE FREITAS;7.590 
2019;Bahia;2919553;LUIS EDUARDO MAGALHAES;416.503 
2019;Bahia;2921104;MEDEIROS NETO;15.965 
2019;Bahia;2921906;MUCUGE;270 
2019;Bahia;2925303;PORTO SEGURO;87.779 
2019;Bahia;2927408;SALVADOR;310.041 
2019;Bahia;2928901;SAO DESIDERIO;23.018 
